date,pop_size,A_cubfem,E_cubfem,F_cubfem,L_cubfem,M_cubfem,N_cubfem,S_cubfem,T_cubfem,A_adultfem,E_adultfem,F_adultfem,L_adultfem,M_adultfem,N_adultfem,S_adultfem,T_adultfem,A_cubmale,E_cubmale,F_cubmale,L_cubmale,M_cubmale,N_cubmale,S_cubmale,T_cubmale,A_philomale,E_philomale,F_philomale,L_philomale,M_philomale,N_philomale,S_philomale,T_philomale,A_dispmale,E_dispmale,F_dispmale,L_dispmale,M_dispmale,N_dispmale,S_dispmale,T_dispmale,A_cubfem_dead,E_cubfem_dead,F_cubfem_dead,L_cubfem_dead,M_cubfem_dead,N_cubfem_dead,S_cubfem_dead,T_cubfem_dead,A_adultfem_dead,E_adultfem_dead,F_adultfem_dead,L_adultfem_dead,M_adultfem_dead,N_adultfem_dead,S_adultfem_dead,T_adultfem_dead,A_cubmale_dead,E_cubmale_dead,F_cubmale_dead,L_cubmale_dead,M_cubmale_dead,N_cubmale_dead,S_cubmale_dead,T_cubmale_dead,A_philomale_dead,E_philomale_dead,F_philomale_dead,L_philomale_dead,M_philomale_dead,N_philomale_dead,S_philomale_dead,T_philomale_dead,A_dispmale_dead,E_dispmale_dead,F_dispmale_dead,L_dispmale_dead,M_dispmale_dead,N_dispmale_dead,S_dispmale_dead,T_dispmale_dead,A_mothers,E_mothers,F_mothers,L_mothers,M_mothers,N_mothers,S_mothers,T_mothers,A_fathers,E_fathers,F_fathers,L_fathers,M_fathers,N_fathers,S_fathers,T_fathers
1996-04-12,178,4,4,3,4,8,1,0,2,13,4,5,12,15,6,5,5,11,3,1,5,8,6,0,2,13,2,4,8,14,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-05-12,194,5,5,3,4,7,1,2,2,13,4,5,14,16,7,5,5,14,4,1,5,8,6,2,2,10,2,4,6,7,1,1,2,8,4,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,2,2,0,3,1,0,2,1,1,1,0
1996-06-12,205,5,5,5,4,8,1,2,2,14,4,5,14,16,7,5,5,14,4,3,5,9,5,3,4,11,2,4,6,7,1,1,2,9,4,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,1,0,1,0,1,0,1,1
1996-07-12,207,6,6,5,3,8,1,2,2,14,4,5,15,16,7,5,5,14,5,3,5,9,5,3,4,10,2,4,6,7,1,1,2,9,4,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1996-08-12,215,8,6,5,3,8,1,2,3,14,3,5,15,16,7,5,5,15,6,3,4,10,5,5,4,10,2,4,6,7,1,1,2,9,4,2,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,2,1,0,0,1,0,1,1
1996-09-12,217,8,6,7,3,8,1,3,3,14,3,5,15,16,7,4,5,15,6,3,3,11,5,5,4,10,2,4,6,7,1,1,2,9,4,2,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1
1996-10-12,217,5,6,7,3,8,1,3,3,17,3,5,14,16,7,4,5,14,5,3,3,11,6,5,4,10,2,4,6,7,1,1,2,10,4,2,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1996-11-12,220,5,6,8,3,8,1,3,3,17,3,5,14,16,7,4,5,14,5,5,3,11,6,5,4,10,2,4,6,7,1,1,2,10,4,2,3,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0
1996-12-12,224,8,6,8,3,9,1,3,3,17,3,5,13,16,7,4,5,14,5,5,3,12,5,5,4,10,2,4,6,7,1,1,2,10,4,2,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
1997-01-12,225,8,6,8,3,9,2,3,2,17,3,5,13,16,7,4,6,14,5,6,3,11,6,5,4,10,2,4,6,6,1,1,2,10,4,2,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0
1997-02-12,232,9,6,8,3,10,2,3,2,17,3,6,13,16,7,4,6,15,5,5,3,14,6,5,4,10,2,4,6,6,1,1,2,11,4,2,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,0,1,0,2,0,0,0
1997-03-12,235,10,5,8,3,10,3,3,2,17,4,6,12,17,7,4,6,15,5,5,4,12,6,5,4,10,2,4,6,6,1,1,2,9,5,2,3,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1
1997-04-12,240,10,5,9,3,9,3,3,4,17,4,6,12,17,7,4,6,15,5,7,3,12,5,5,5,10,2,4,6,6,1,1,2,10,6,2,3,7,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2
1997-05-12,245,10,5,9,4,9,4,3,3,17,4,6,12,17,7,4,7,15,6,7,4,12,5,6,5,10,2,4,6,6,1,1,2,10,6,2,3,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
1997-06-12,254,12,5,9,4,9,4,4,6,17,4,6,12,17,7,4,7,16,7,7,4,13,5,7,4,10,2,4,6,5,1,1,2,10,7,2,3,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,2,2,1,0,0,1,0,1,2
1997-07-12,253,12,4,9,3,8,4,4,6,17,5,6,13,17,7,4,7,16,6,7,4,13,5,7,4,10,2,4,6,5,1,1,2,10,7,2,3,8,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-12,260,12,5,11,3,8,4,5,6,17,5,6,13,17,7,4,7,16,6,8,3,14,4,8,4,10,2,4,6,5,1,1,2,10,7,2,3,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,0,1,1,0,1,0,1,0
1997-09-12,268,13,5,11,4,8,5,5,6,17,5,6,13,17,7,4,7,18,6,8,4,13,3,8,6,10,2,4,7,5,2,1,2,10,7,2,3,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,2,0,0,2,0,1,0,1
1997-10-12,270,13,5,11,4,7,5,5,6,17,5,6,13,18,7,4,7,15,6,8,6,15,3,8,6,10,2,4,7,5,2,1,2,10,7,3,3,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
1997-11-12,273,13,4,13,3,7,5,5,6,17,6,6,13,19,7,4,7,14,7,8,6,14,3,8,6,11,2,4,7,6,2,1,2,10,7,3,3,10,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0
1997-12-12,277,12,4,13,3,6,6,5,6,17,6,6,13,21,7,4,7,13,7,8,6,14,4,8,9,11,2,4,7,5,2,1,2,10,6,3,5,10,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,1,0,1
1998-01-12,287,19,4,14,3,6,8,5,6,17,6,6,13,21,7,4,7,12,6,7,6,11,5,8,9,11,2,4,7,6,2,1,2,11,7,3,7,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,3,0,0,3,0,1,0,0,1,0,0
1998-02-12,290,19,3,14,3,6,8,5,7,17,7,7,13,21,7,4,7,12,6,7,7,12,5,8,9,10,2,4,7,6,2,1,2,11,7,4,7,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1
1998-03-12,294,22,3,14,3,7,8,5,7,17,7,8,13,20,7,4,7,14,5,8,6,12,5,10,8,9,2,4,7,5,2,1,2,11,7,4,7,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0,2,0,1,0,1,0,1,0
1998-04-12,298,22,3,15,3,7,8,5,8,16,6,8,13,20,7,4,7,16,5,9,5,12,5,10,10,9,2,4,7,5,2,1,2,11,7,4,7,9,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,2
1998-05-12,299,22,2,15,2,8,7,3,8,17,7,8,14,20,8,6,7,12,4,9,5,11,4,8,10,9,2,4,7,5,2,1,2,11,10,7,8,10,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1998-06-12,305,24,2,14,2,7,8,3,8,18,7,10,14,21,8,6,7,11,4,7,5,11,5,7,9,9,2,4,7,5,2,1,2,14,10,7,9,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
1998-07-12,305,23,1,14,2,8,8,3,9,19,8,9,13,21,7,6,7,11,3,6,5,12,5,8,9,9,2,4,7,5,2,1,2,14,10,8,9,11,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
1998-08-12,307,21,1,14,3,8,8,3,8,21,7,9,13,21,7,6,8,9,3,6,6,12,5,7,9,9,2,4,7,6,2,1,2,15,10,8,9,11,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0
1998-09-12,312,21,1,14,3,10,8,2,9,21,7,11,13,21,7,7,8,10,3,6,6,12,5,7,8,9,2,4,7,6,2,1,2,16,10,8,9,11,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,1,0,1,0,2,0,0,1
1998-10-12,322,23,1,14,4,11,8,5,9,20,7,11,13,21,7,7,8,10,4,6,7,12,4,8,10,8,2,4,7,6,2,1,2,17,10,8,9,11,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,2,1,1,0,1,1,0,2,2
1998-11-12,321,25,1,12,4,11,8,5,9,20,7,11,12,21,7,7,8,10,4,5,7,13,4,7,10,8,2,4,7,6,2,1,2,17,11,8,9,11,1,1,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1998-12-12,317,23,2,14,4,9,8,5,9,22,7,11,12,21,7,7,8,8,4,5,7,11,4,6,10,8,2,3,7,6,2,1,2,17,11,8,9,11,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0
1999-01-12,313,23,2,15,4,8,7,5,9,22,7,11,12,21,8,7,8,9,3,4,7,10,3,6,10,8,2,3,7,6,2,1,2,17,10,7,11,10,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1999-02-12,310,22,2,14,4,7,6,5,9,23,7,12,12,21,8,7,7,10,3,4,7,8,3,6,10,8,2,3,6,6,2,1,2,17,11,8,11,10,1,1,4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1999-03-12,318,22,2,15,4,9,5,5,9,24,7,12,12,22,9,7,7,13,3,5,7,8,4,6,7,8,2,3,6,6,2,1,2,17,11,8,12,10,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,1,0,0,3,0,1,0,2,1,0,0
1999-04-12,323,22,2,14,5,10,5,6,8,24,7,13,11,22,9,7,8,13,3,3,7,10,4,7,6,8,2,3,6,6,2,1,2,16,12,9,12,11,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,2,0,1,0
1999-05-12,329,26,2,15,6,9,4,7,8,24,7,13,10,22,10,7,8,16,3,3,6,10,4,5,6,8,2,3,5,6,2,1,2,16,12,11,11,11,1,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,1,1,0,1,0,3,0,1,1,1,0,1,0
1999-06-12,336,26,2,15,6,11,5,6,7,26,7,12,10,21,10,8,10,15,2,3,6,10,4,5,7,8,3,3,5,6,2,1,2,17,12,11,11,10,2,3,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,2,1,1,1
1999-07-12,341,28,2,15,6,11,7,6,7,26,7,12,10,21,10,8,10,17,2,3,6,10,4,5,7,8,3,3,4,6,1,1,2,18,12,11,11,10,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1
1999-08-12,348,28,2,15,6,11,8,5,7,26,8,13,10,20,10,9,10,17,2,4,7,8,4,7,8,7,3,3,4,6,1,1,2,18,12,11,11,10,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
1999-09-12,353,27,2,16,5,12,9,6,7,27,8,13,10,20,10,9,10,15,2,4,5,9,5,7,7,8,3,3,4,6,1,1,2,18,12,12,11,11,4,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
1999-10-12,359,28,4,17,6,12,10,6,10,27,8,13,10,20,10,9,9,14,2,5,4,9,5,7,6,7,2,3,4,6,1,1,2,18,13,12,11,12,4,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,0,2,1,1,2,1,2,1,0,2
1999-11-12,367,28,4,16,6,12,12,6,11,27,8,15,8,20,10,9,9,15,3,6,4,9,7,7,6,7,2,3,4,6,1,1,2,18,13,13,11,12,4,4,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3,0,1,1,2,1,0,0,2,0,1
1999-12-12,370,28,4,18,7,12,12,6,11,27,8,15,8,20,10,9,9,14,3,6,5,9,6,7,4,7,2,3,4,6,1,1,2,18,14,15,10,13,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
2000-01-12,376,23,4,18,7,12,11,8,10,34,8,15,8,18,12,9,9,14,3,6,5,11,7,7,4,7,2,3,4,6,2,1,2,18,14,15,10,13,4,4,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,1,0,0,0,1,1,2,0
2000-02-12,375,22,4,17,7,12,11,8,9,34,8,16,8,18,12,9,10,15,3,5,4,10,7,7,4,7,2,3,4,6,2,1,2,19,14,15,10,14,4,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000-03-12,383,20,4,18,7,14,11,8,10,35,8,17,8,18,12,9,10,12,3,7,4,12,7,6,4,7,2,3,4,5,2,1,2,19,14,17,10,16,4,4,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,3,0,1,0,0,2
2000-04-12,383,20,4,17,7,14,11,8,9,35,8,18,8,17,12,9,11,11,3,8,4,12,7,6,3,7,2,3,4,5,2,1,2,19,14,17,11,16,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2000-05-12,391,19,4,19,7,14,12,9,9,36,7,18,8,17,13,9,11,16,3,8,4,11,6,7,3,7,2,3,4,5,2,1,2,19,14,17,11,16,4,5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,2,0,3,0,1,0,0,1,2,0
2000-06-12,392,17,4,17,7,14,12,9,8,39,7,19,8,17,14,9,10,18,3,8,5,11,6,7,4,7,1,3,4,5,2,1,2,19,14,17,11,15,4,5,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,1,2,0,0,1,1,1,0,1
2000-07-12,391,17,4,16,8,13,11,9,7,39,7,19,8,18,14,9,11,18,3,7,5,11,6,8,4,7,1,3,4,5,2,1,2,19,14,16,11,16,4,5,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
2000-08-12,400,17,5,18,7,14,11,9,7,39,7,19,9,18,14,9,11,18,3,7,4,11,8,10,5,7,1,3,4,4,2,1,2,20,14,17,11,16,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,1,0,1,2,0,1,1,1,1
2000-09-12,403,18,5,16,7,14,11,9,7,39,7,21,9,20,13,9,12,18,3,8,4,11,8,10,5,7,1,3,4,4,2,1,2,20,14,17,11,15,4,5,9,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,0,0,1,1,0,3,1,1,0,0,1
2000-10-12,403,17,5,16,6,14,11,6,7,41,6,20,10,21,13,12,12,19,2,8,3,12,9,9,6,7,0,3,4,4,2,1,1,19,14,18,11,14,5,6,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,2,0,0,0,1,1,0,1
2000-11-12,403,16,5,15,5,15,11,6,8,42,6,18,11,20,13,12,12,19,3,7,4,14,9,7,6,7,0,4,4,4,2,1,1,19,14,18,11,14,5,6,9,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,1,2,0,0,1
2000-12-12,408,18,4,13,5,15,11,6,9,42,7,20,11,20,13,12,12,19,3,9,4,14,9,8,7,6,0,4,3,4,2,1,1,19,16,18,10,14,4,6,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,1,1,2,0,2,0,0,0,1,1
2001-01-12,411,19,4,15,6,15,11,6,9,42,7,21,10,20,12,12,10,20,3,10,4,14,9,9,8,4,0,4,2,4,2,1,1,19,16,20,10,13,4,7,8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,1,1,0,1,1,1,0,4,1,1,0,1,1
2001-02-12,412,19,4,15,6,16,10,6,9,43,7,20,9,20,12,12,10,20,3,10,4,15,9,9,9,4,0,4,2,4,2,1,1,19,16,20,10,13,4,7,8,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
2001-03-12,422,19,4,15,7,13,11,7,10,44,7,20,9,23,12,12,10,20,5,10,4,15,12,9,9,5,0,4,1,4,2,1,1,19,17,20,10,13,4,6,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,1,0,4,1,1,3,1,0,1,0,2,1,1
2001-04-12,423,19,4,14,6,12,11,6,10,44,7,20,10,22,12,13,10,22,5,11,4,14,13,9,9,5,0,4,1,4,2,1,1,19,17,20,11,13,4,6,8,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,2,0,1,0,0,1,1,0
2001-05-12,429,15,4,16,5,13,11,7,10,48,7,20,11,22,12,14,10,19,6,12,4,14,13,10,8,6,0,4,1,4,2,1,1,19,17,21,10,13,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,2,0,0,1,2,0,1,0,2,0
2001-06-12,430,12,4,16,5,11,11,7,10,49,7,20,11,24,12,13,10,20,7,12,5,13,13,10,8,6,0,3,1,4,2,1,1,20,18,21,11,13,4,7,8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0
2001-07-12,434,10,4,16,6,11,11,7,11,51,7,19,11,24,13,13,10,20,7,12,5,12,15,10,8,6,0,3,1,4,2,1,1,19,17,21,11,13,5,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,1,2,0,0,1,0,2,0,1
2001-08-12,436,11,3,19,6,11,11,7,12,51,8,17,11,23,13,13,10,21,7,14,4,12,13,8,7,6,0,3,1,4,2,2,2,19,17,23,11,12,5,8,9,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,2,0,3,0,0,0,0,2
